AÑO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,UNIONES MARITALES DE HECHO
Año 2017,II Trim,Guajira,Riohacha,7
Año 2017,II Trim,Guajira,Demás Municipios,5
Año 2017,II Trim,Guaviare,San Jose Del Guaviare,16
Año 2017,II Trim,Huila,Neiva,29
Año 2017,II Trim,Huila,Demás Municipios,38
Año 2017,II Trim,Magdalena,Santa Marta,3
Año 2017,II Trim,Magdalena,Demás Municipios,6
Año 2017,II Trim,Meta,Villavicencio,37
Año 2017,II Trim,Meta,Demás Municipios,12
Año 2017,II Trim,Nariño,Pasto,21
Año 2017,II Trim,Nariño,Demás Municipios,29
Año 2017,II Trim,Norte De Santander,Cucuta,44
Año 2017,II Trim,Norte De Santander,Demás Municipios,13
Año 2017,II Trim,Putumayo,Mocoa,9
Año 2017,II Trim,Putumayo,Demás Municipios,4
Año 2017,II Trim,Quindio,Armenia,25
Año 2017,II Trim,Quindio,Demás Municipios,7
Año 2017,II Trim,Risaralda,Pereira,49
Año 2017,II Trim,Risaralda,Demás Municipios,11
Año 2017,II Trim,San Andres Y Providencia,San Andres Isla,14
Año 2017,II Trim,San Andres Y Providencia,Demás Municipios,1
Año 2017,II Trim,Santander,Bucaramanga,45
Año 2017,II Trim,Santander,Demás Municipios,31
Año 2017,II Trim,Sucre,Sincelejo,6
Año 2017,II Trim,Sucre,Demás Municipios,8
Año 2017,II Trim,Tolima,Ibague,38
Año 2017,II Trim,Tolima,Demás Municipios,96
Año 2017,II Trim,Valle,Cali,214
Año 2017,II Trim,Valle,Demás Municipios,129
Año 2017,II Trim,Vaupes,Mitu,1
Año 2017,II Trim,Vichada,Puerto Carreño,0
Año 2017,II Trim,Vichada,Demás Municipios,0
Año 2017,III Trim,Amazonas,Leticia,4
Año 2017,III Trim,Antioquia,Medellin,70
Año 2017,III Trim,Antioquia,Demás Municipios,99
Año 2017,III Trim,Arauca,Arauca,6
Año 2017,III Trim,Arauca,Demás Municipios,1
Año 2017,III Trim,Atlantico,Barranquilla,84
Año 2017,III Trim,Atlantico,Demás Municipios,68
Año 2017,III Trim,Bolivar,Cartagena,36
Año 2017,III Trim,Bolivar,Demás Municipios,7
Año 2017,III Trim,Boyaca,Tunja,14
Año 2017,III Trim,Boyaca,Demás Municipios,69
Año 2017,III Trim,Caldas,Manizales,35
Año 2017,III Trim,Caldas,Demás Municipios,34
Año 2017,III Trim,Caqueta,Florencia,29
Año 2017,III Trim,Caqueta,Demás Municipios,4
Año 2017,III Trim,Casanare,Yopal,14
Año 2017,III Trim,Casanare,Demás Municipios,5
Año 2017,III Trim,Cauca,Popayan,27
Año 2017,III Trim,Cauca,Demás Municipios,20
Año 2017,III Trim,Cesar,Valledupar,17
Año 2017,III Trim,Cesar,Demás Municipios,6
Año 2017,III Trim,Choco,Quibdo,12
Año 2017,III Trim,Choco,Demás Municipios,5
Año 2017,III Trim,Cordoba,Monteria,17
Año 2017,III Trim,Cordoba,Demás Municipios,48
Año 2017,III Trim,Cundinamarca,Bogota,475
Año 2017,III Trim,Cundinamarca,Demás Municipios,221
Año 2017,III Trim,Guainia,Inirida,0
Año 2017,III Trim,Guajira,Riohacha,6
Año 2017,III Trim,Guajira,Demás Municipios,4
Año 2017,III Trim,Guaviare,San Jose Del Guaviare,11
Año 2017,III Trim,Huila,Neiva,27
Año 2017,III Trim,Huila,Demás Municipios,39
Año 2017,III Trim,Magdalena,Santa Marta,19
Año 2017,III Trim,Magdalena,Demás Municipios,9
Año 2017,III Trim,Meta,Villavicencio,27
Año 2017,III Trim,Meta,Demás Municipios,14
Año 2017,III Trim,Nariño,Pasto,16
Año 2017,III Trim,Nariño,Demás Municipios,18
Año 2017,III Trim,Norte De Santander,Cucuta,37
Año 2017,III Trim,Norte De Santander,Demás Municipios,12
Año 2017,III Trim,Putumayo,Mocoa,5
Año 2017,III Trim,Putumayo,Demás Municipios,16
Año 2017,III Trim,Quindio,Armenia,24
Año 2017,III Trim,Quindio,Demás Municipios,7
Año 2017,III Trim,Risaralda,Pereira,34
Año 2017,III Trim,Risaralda,Demás Municipios,4
Año 2017,III Trim,San Andres Y Providencia,San Andres Isla,19
Año 2017,III Trim,San Andres Y Providencia,Demás Municipios,0
Año 2017,III Trim,Santander,Bucaramanga,51
Año 2017,III Trim,Santander,Demás Municipios,49
Año 2017,III Trim,Sucre,Sincelejo,2
Año 2017,III Trim,Sucre,Demás Municipios,21
Año 2017,III Trim,Tolima,Ibague,46
Año 2017,III Trim,Tolima,Demás Municipios,99
Año 2017,III Trim,Valle,Cali,249
Año 2017,III Trim,Valle,Demás Municipios,118
Año 2017,III Trim,Vaupes,Mitu,1
Año 2017,III Trim,Vichada,Puerto Carreño,0
Año 2017,III Trim,Vichada,Demás Municipios,0
Año 2017,IV Trim,Amazonas,Leticia,2
Año 2017,IV Trim,Antioquia,Medellin,85
Año 2017,IV Trim,Antioquia,Demás Municipios,110
Año 2017,IV Trim,Arauca,Arauca,2
Año 2017,IV Trim,Arauca,Demás Municipios,7
Año 2017,IV Trim,Atlantico,Barranquilla,30
Año 2017,IV Trim,Atlantico,Demás Municipios,15
Año 2017,IV Trim,Bolivar,Cartagena,35
Año 2017,IV Trim,Bolivar,Demás Municipios,8
Año 2017,IV Trim,Boyaca,Tunja,8
Año 2017,IV Trim,Boyaca,Demás Municipios,61
Año 2017,IV Trim,Caldas,Manizales,25
Año 2017,IV Trim,Caldas,Demás Municipios,37
Año 2017,IV Trim,Caqueta,Florencia,32
Año 2017,IV Trim,Caqueta,Demás Municipios,5
Año 2017,IV Trim,Casanare,Yopal,11
Año 2017,IV Trim,Casanare,Demás Municipios,11
Año 2017,IV Trim,Cauca,Popayan,29
Año 2017,IV Trim,Cauca,Demás Municipios,32
Año 2017,IV Trim,Cesar,Valledupar,5
Año 2017,IV Trim,Cesar,Demás Municipios,14
Año 2017,IV Trim,Choco,Quibdo,6
Año 2017,IV Trim,Choco,Demás Municipios,5
Año 2017,IV Trim,Cordoba,Monteria,8
Año 2017,IV Trim,Cordoba,Demás Municipios,40
Año 2017,IV Trim,Cundinamarca,Bogota,461
Año 2017,IV Trim,Cundinamarca,Demás Municipios,159
Año 2017,IV Trim,Guainia,Inirida,0
Año 2017,IV Trim,Guajira,Riohacha,6
Año 2017,IV Trim,Guajira,Demás Municipios,1
Año 2017,IV Trim,Guaviare,San Jose Del Guaviare,3
Año 2017,IV Trim,Huila,Neiva,40
Año 2017,IV Trim,Huila,Demás Municipios,35
Año 2017,IV Trim,Magdalena,Santa Marta,8
Año 2017,IV Trim,Magdalena,Demás Municipios,5
Año 2017,IV Trim,Meta,Villavicencio,43
Año 2017,IV Trim,Meta,Demás Municipios,17
Año 2017,IV Trim,Nariño,Pasto,19
Año 2017,IV Trim,Nariño,Demás Municipios,16
Año 2017,IV Trim,Norte De Santander,Cucuta,25
Año 2017,IV Trim,Norte De Santander,Demás Municipios,31
Año 2017,IV Trim,Putumayo,Mocoa,4
Año 2017,IV Trim,Putumayo,Demás Municipios,7
Año 2017,IV Trim,Quindio,Armenia,17
Año 2017,IV Trim,Quindio,Demás Municipios,5
Año 2017,IV Trim,Risaralda,Pereira,51
Año 2017,IV Trim,Risaralda,Demás Municipios,3
Año 2017,IV Trim,San Andres Y Providencia,San Andres Isla,22
Año 2017,IV Trim,San Andres Y Providencia,Demás Municipios,2
Año 2017,IV Trim,Santander,Bucaramanga,49
Año 2017,IV Trim,Santander,Demás Municipios,37
Año 2017,IV Trim,Sucre,Sincelejo,1
Año 2017,IV Trim,Sucre,Demás Municipios,15
Año 2017,IV Trim,Tolima,Ibague,35
Año 2017,IV Trim,Tolima,Demás Municipios,45
Año 2017,IV Trim,Valle,Cali,192
Año 2017,IV Trim,Valle,Demás Municipios,103
Año 2017,IV Trim,Vaupes,Mitu,1
Año 2017,IV Trim,Vichada,Puerto Carreño,0
Año 2017,IV Trim,Vichada,Demás Municipios,2
Año 2018,I Trim,Amazonas,Leticia,0
Año 2018,I Trim,Antioquia,Medellin,71
Año 2018,I Trim,Antioquia,Demás Municipios,95
Año 2018,I Trim,Arauca,Arauca,3
Año 2018,I Trim,Arauca,Demás Municipios,7
Año 2018,I Trim,Atlantico,Barranquilla,29
Año 2018,I Trim,Atlantico,Demás Municipios,11
Año 2018,I Trim,Bolivar,Cartagena,27
Año 2018,I Trim,Bolivar,Demás Municipios,14
Año 2018,I Trim,Boyaca,Tunja,10
Año 2018,I Trim,Boyaca,Demás Municipios,54
Año 2018,I Trim,Caldas,Manizales,32
Año 2018,I Trim,Caldas,Demás Municipios,26
Año 2018,I Trim,Caqueta,Florencia,20
Año 2018,I Trim,Caqueta,Demás Municipios,6
Año 2018,I Trim,Casanare,Yopal,12
Año 2018,I Trim,Casanare,Demás Municipios,4
Año 2018,I Trim,Cauca,Popayan,37
Año 2018,I Trim,Cauca,Demás Municipios,18
Año 2018,I Trim,Cesar,Valledupar,10
Año 2018,I Trim,Cesar,Demás Municipios,11
Año 2018,I Trim,Choco,Quibdo,5
Año 2018,I Trim,Choco,Demás Municipios,2
Año 2018,I Trim,Cordoba,Monteria,10
Año 2018,I Trim,Cordoba,Demás Municipios,30
Año 2018,I Trim,Cundinamarca,Bogota,351
Año 2018,I Trim,Cundinamarca,Demás Municipios,191
Año 2018,I Trim,Guainia,Inirida,1
Año 2018,I Trim,Guajira,Riohacha,7
Año 2018,I Trim,Guajira,Demás Municipios,2
Año 2018,I Trim,Guaviare,San Jose Del Guaviare,8
Año 2018,I Trim,Huila,Neiva,24
Año 2018,I Trim,Huila,Demás Municipios,39
Año 2018,I Trim,Magdalena,Santa Marta,9
Año 2018,I Trim,Magdalena,Demás Municipios,8
Año 2018,I Trim,Meta,Villavicencio,32
Año 2018,I Trim,Meta,Demás Municipios,9
Año 2018,I Trim,Nariño,Pasto,19
Año 2018,I Trim,Nariño,Demás Municipios,12
Año 2018,I Trim,Norte De Santander,Cucuta,37
Año 2018,I Trim,Norte De Santander,Demás Municipios,13
Año 2018,I Trim,Putumayo,Mocoa,2
